"H","diameter","albedo","e","a","q","i","om","w","ma","ad","n","per_y","data_arc","n_obs_used"
14.8,7.769,0.039,0.0688628403575535,3.16858888496265,2.95039085441875,15.5481403110846,135.671246131952,331.095040507717,221.967023456743,3.38678691550656,0.174745190797901,5.64036285557904,8524,1333
15.15,5.589,0.066,0.199620842895348,2.7041527369632,2.16434748829285,9.71172261596556,283.314249650565,123.024490339736,14.8987602439459,3.24395798563356,0.221644646989937,4.44687609988752,9515,1536
16.18,3.377,0.074,0.209036065179989,2.56340486019285,2.02756079475487,10.592601102462,305.917743479639,256.856147607879,214.397429920268,3.09924892563082,0.240147609995528,4.1042518948488,8346,626
14.56,7.056,0.074,0.170947630297773,2.75529218312214,2.28428151363943,7.97479018791731,138.138814545451,238.644068505089,90.2634390689567,3.22630285260484,0.215502634504405,4.57361593575975,9900,2724
14.45,7.576,0.059,0.0750685987397987,3.18445899351353,2.94540611912612,15.9063232426137,295.195679664716,210.079884119383,167.152739869125,3.42351186790094,0.173440526281513,5.68279112442138,11052,1466
14.03,5.724,0.135,0.0731947616340822,2.97869802082294,2.7606729292089,14.811691707707,157.565447933831,333.414098076497,49.4069677693757,3.19672311243699,0.191718648412248,5.14100371315048,10417,3153
16.63,2.338,0.117,0.20125084588652,2.30542993261437,1.84146020854362,9.98258127909242,41.3753274584654,135.969644944466,282.16624121506,2.76939965668511,0.281563388159545,3.50054845486183,9817,1307
17.52,2.042,0.061,0.124159959047546,2.78833637419223,2.44213664416174,3.49783193301006,273.196425240897,83.7097716406318,156.600794954648,3.13453610422272,0.211683168559991,4.6561391256208,7038,177
16.89,2.112,0.109,0.143642640675245,2.40914124846167,2.06308583777298,3.80259539756848,170.722203039943,5.88107430944617,155.301612429356,2.75519665915036,0.26357892270551,3.73939719174272,8594,752
14.14,3.703,0.389,0.144286024611341,2.66198995270762,2.2779020048761,11.6886181049843,119.164307043337,144.879471349369,194.21498225569,3.04607790053913,0.226931328694598,4.34327992101082,12475,3147
15.12,6.506,0.044,0.119588404124637,2.54641123577214,2.24188997984111,12.4075826151835,333.232555837833,149.05300595889,242.33133876728,2.85093249170317,0.242555574981775,4.06350702696325,11664,1599
15.36,5.181,0.066,0.168909157438857,2.43840302793427,2.02653442698954,7.46786202986405,191.082846126602,45.7042379451589,87.5956907013224,2.85027162887901,0.258848611951845,3.80773254272237,10029,2602
15.59,3.746,0.087,0.102917571793056,3.2085542337605,2.87833762305554,14.3041573387194,102.826874243681,60.614408823362,256.007365252813,3.53877084446546,0.171490472574961,5.74741132010541,9297,452
16.04,3.232,0.107,0.129667126926768,2.68095380063472,2.33332222388302,6.99133083900109,288.765317495009,165.333545931794,265.056897967337,3.02858537738643,0.224527778151004,4.38977435880867,8989,734
15.32,2.829,0.221,0.0708886675284349,2.67389618895537,2.48434725101096,15.6285409553048,60.4392440298655,245.354145675272,115.688028350658,2.86344512689977,0.225417308784465,4.37245164837796,9587,1204
14.4,7.972,0.07,0.200279139216465,3.19882022292038,2.55816326216567,14.2855157672272,260.76796104279,14.2148353999611,241.037968104147,3.83947718367509,0.172273836098943,5.72127669347001,9771,1348
12.76,9.339,0.247,0.173469041877263,2.59905944020757,2.1482030893327,13.3200106482371,32.0047362311834,263.392487142377,215.310973292494,3.04991579108243,0.235222984548542,4.19017846091548,25956,5846
15.27,4.491,0.088,0.0282637823875635,2.96442107955057,2.88063532725304,14.8971855411938,16.9635136843592,80.1033405091647,43.4431429061918,3.04820683184809,0.193105318240477,5.1040866836207,9585,1088
11.32,39.401,0.044,0.112281010808001,2.61216178002017,2.31886561496548,10.240551285236,297.503293179893,243.941720125071,329.248799378597,2.90545794507486,0.233455423549383,4.22190355821426,43174,10553
9.28,87.812,0.044,0.199553361844926,3.20059582459628,2.56190616789126,21.3139955758654,291.958565589643,82.284075672247,89.6911904130988,3.83928548130129,0.172130496873929,5.72604100532775,46203,8862
17.5,2.001,0.053,0.057522864358293,2.38643296079416,2.24915850129024,5.40739402927219,213.365603872359,288.782856984812,96.5121995526058,2.52370742029809,0.267350016819561,3.68665128617805,9535,315
14.57,9.054,0.049,0.0994082258363616,2.80302609560615,2.52438224446892,4.88543980005782,337.870924797297,64.3799806335811,359.111917480105,3.08166994674338,0.210021309704695,4.69298227286278,16368,2543
12.82,8.428,0.227,0.0326867895082588,2.58163693412932,2.49725151107669,14.28346684252,338.480962626406,173.752845047527,1.86755867696527,2.66602235718195,0.237608145875074,4.14811655441209,26039,10781
15.48,3.464,0.122,0.189960271349748,2.44446823367969,1.98011638470405,4.24826292509724,109.231790955353,268.716356377887,111.989789525622,2.90882008265532,0.257885828423307,3.82194822179099,14499,1877
13.04,6.395,0.359,0.201063932484877,2.5738131169318,2.05631213016033,14.1523112189103,82.8180550913029,249.00927906343,73.6214029882431,3.09131410370326,0.238692382358149,4.12927414620489,17964,4733
14.02,7.359,0.108,0.234090845242157,2.7204618316296,2.0836266220144,15.1591063306095,30.9073539305672,325.002883188407,28.3189311807858,3.3572970412448,0.219654506729252,4.48716622319271,10891,2811
15.98,4.144,0.059,0.113783836748906,2.4405576081314,2.16286159967148,5.74853516476737,128.398502055574,259.659061143672,139.517762008023,2.71825361659132,0.258505911384006,3.81278044316528,8998,1486
14.87,6.483,0.033,0.182393825740242,2.63407222245278,2.15363371252352,12.4068576991671,27.8630436429426,63.2074346315641,46.4823400120253,3.11451073238205,0.230548635461411,4.27513388398488,9681,2265
17.14,2.661,0.04,0.181095983774657,2.40439279381624,1.96896691543939,5.58858110648743,164.406189141896,337.521009699939,87.804646472899,2.83981867219308,0.264360124286831,3.72834702671782,12409,574
15.3,4.289,0.088,0.104650375738678,3.21893189271907,2.88206946066881,15.232353602706,169.254471098688,341.871809036928,253.268598370951,3.55579432476934,0.170661827606338,5.77531775671054,9330,701
16.29,2.185,0.102,0.0462367385488069,2.28360608450521,2.17801958702748,1.02771940315283,102.753702840193,22.7445516356766,23.2919455340139,2.38919258198294,0.285609261762239,3.45096050907503,12428,1567
14.04,4.637,0.327,0.105167229896406,2.83662566059741,2.53830559761932,14.3394643459272,261.739343909201,357.491554813089,133.740097106564,3.13494572357551,0.206300857421371,4.77761602975022,9346,3386
